Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
DEC,111017.00,4847.00,27896.00,26666.00,18426.00,29084.00,4098.00,63536.00,4910.00,15164.00,26160.00,6899.00,7769.00,2633.00
2002,1161366.00,49687.00,267693.00,283323.00,203743.00,307842.00,49078.00,693103.00,49616.00,156812.00,290437.00,78942.00,84359.00,32937.00
JAN,89443.00,3878.00,19553.00,22839.00,15718.00,23446.00,4010.00,55939.00,4186.00,12358.00,23853.00,6132.00,6912.00,2498.00
FEB,91539.00,3969.00,19469.00,23131.00,16437.00,24541.00,3991.00,55717.00,4160.00,12254.00,23462.00,6284.00,6980.00,2578.00
MAR,91447.00,3951.00,19715.00,23414.00,16217.00,23847.00,4302.00,55925.00,3886.00,12271.00,23974.00,6343.00,6765.00,2685.00
APR,95972.00,4019.00,22524.00,23731.00,16944.00,24745.00,4010.00,57958.00,3967.00,12975.00,24476.00,6708.00,7068.00,2765.00
MAY,96395.00,4097.00,22370.00,23679.00,16794.00,25362.00,4093.00,58182.00,4037.00,13226.00,24207.00,6720.00,7001.00,2990.00
JUN,97848.00,4143.00,21912.00,23958.00,17128.00,26346.00,4362.00,58772.00,4302.00,13340.00,24690.00,6833.00,7010.00,2597.00
JUL,97197.00,4228.00,22169.00,23846.00,16871.00,26034.00,4049.00,59129.00,4355.00,13211.00,24765.00,6734.00,7264.00,2800.00
AUG,99721.00,4255.00,23095.00,23732.00,17714.00,26901.00,4025.00,59173.00,4230.00,13448.00,24736.00,6790.00,7102.00,2867.00
SEP,99364.00,4204.00,23151.00,23759.00,17654.00,26465.00,4131.00,58639.00,4087.00,13380.00,24788.00,6639.00,7015.00,2729.00
OCT,96860.00,4095.00,24097.00,22392.00,17091.00,25169.00,4017.00,58066.00,3843.00,13149.00,24373.00,6649.00,7177.00,2874.00
NOV,102120.00,4382.00,24416.00,24374.00,17555.00,27417.00,3976.00,58815.00,4215.00,13644.00,24464.00,6552.00,7155.00,2785.00
DEC,103460.00,4466.00,25223.00,24469.00,17621.00,27569.00,4112.00,56789.00,4348.00,13556.00,22649.00,6558.00,6910.00,2768.00
2001,1140999.00,46641.00,273870.00,297993.00,189782.00,284293.00,48421.00,729100.00,49407.00,160104.00,321714.00,75435.00,88331.00,34110.00
JAN,105470.00,3900.00,27988.00,28825.00,15997.00,24618.00,4142.00,65869.00,3957.00,14274.00,30941.00,6143.00,7640.00,2913.00
FEB,100350.00,3796.00,25887.00,27822.00,15606.00,23158.00,4082.00,66114.00,4118.00,14455.00,30985.00,6037.00,7808.00,2710.00
MAR,101853.00,3737.00,25320.00,28199.00,15678.00,25098.00,3821.00,64350.00,4337.00,14224.00,29123.00,6203.00,7720.00,2743.00
APR,98164.00,3746.00,24152.00,25855.00,15927.00,24311.00,4173.00,62805.00,4265.00,13953.00,27918.00,6261.00,7695.00,2713.00
MAY,95150.00,3766.00,23365.00,24591.00,15704.00,23534.00,4189.00,63772.00,4110.00,13927.00,28392.00,6347.00,7957.00,3038.00
JUN,94978.00,3922.00,22791.00,24518.00,15963.00,23764.00,4020.00,61102.00,4041.00,13452.00,26638.00,6590.00,7226.00,3156.00
JUL,93680.00,4006.00,21924.00,23871.00,15986.00,23854.00,4039.00,59298.00,4044.00,12931.00,25888.00,6204.00,7278.00,2955.00
AUG,92569.00,3942.00,21637.00,23541.00,16253.00,23264.00,3932.00,59648.00,4230.00,13201.00,25561.00,6540.00,7113.00,3004.00
SEP,90957.00,4047.00,21356.00,22581.00,15669.00,23425.00,3878.00,56375.00,4063.00,12321.00,24066.00,6380.00,6890.00,2657.00
OCT,91322.00,4031.00,20668.00,22976.00,15724.00,23885.00,4037.00,56987.00,4113.00,12596.00,24174.00,6292.00,6995.00,2817.00
NOV,89979.00,3973.00,19947.00,22763.00,15895.00,23329.00,4072.00,56711.00,4110.00,12394.00,24159.00,6420.00,6883.00,2745.00
DEC,86527.00,3774.00,18835.00,22451.00,15380.00,22052.00,4035.00,56069.00,4020.00,12376.00,23870.00,6020.00,7125.00,2658.00
2000,1218022.00,45979.00,298980.00,347025.00,195875.00,281832.00,48331.00,781918.00,47871.00,172615.00,356934.00,80356.00,89377.00,34765.00
JAN,93900.00,3670.00,21696.00,26237.00,16732.00,21722.00,3843.00,62543.00,3878.00,13709.00,27856.00,6990.00,7160.00,2950.00
FEB,95901.00,3694.00,23528.00,26536.00,16092.00,22027.00,4024.00,62409.00,3772.00,14024.00,27109.00,6929.00,7369.00,3207.00
MAR,99176.00,3867.00,24706.00,27332.00,16494.00,22881.00,3895.00,63135.00,3961.00,14699.00,27403.00,6968.00,7378.00,2726.00
APR,99242.00,3829.00,23458.00,28468.00,16409.00,23200.00,3879.00,63814.00,3932.00,13867.00,29402.00,6604.00,7329.00,2679.00
MAY,99651.00,3817.00,24191.00,28673.00,15946.00,23274.00,3749.00,63632.00,3990.00,13715.00,29340.00,6638.00,7175.00,2774.00
JUN,103019.00,3822.00,25681.00,29413.00,16498.00,23474.00,4132.00,65997.00,4059.00,14152.00,30305.00,6812.00,7687.00,2982.00
JUL,103349.00,3885.00,25852.00,29358.00,16544.00,23649.00,4060.00,65711.00,4116.00,14088.00,30819.00,6442.00,7490.00,2757.00
AUG,103665.00,3920.00,25268.00,30016.00,16354.00,23847.00,4259.00,67763.00,4233.00,14679.00,31531.00,6769.00,7683.00,2867.00
SEP,106396.00,3886.00,26470.00,31171.00,16441.00,24217.00,4211.00,67562.00,4085.00,15189.00,31198.00,6588.00,7718.00,2784.00
OCT,106056.00,3855.00,26418.00,30284.00,16652.00,24770.00,4077.00,66845.00,4012.00,14958.00,30823.00,6660.00,7363.00,3029.00
NOV,103993.00,3938.00,25429.00,29597.00,16209.00,24642.00,4177.00,66691.00,3936.00,15091.00,30707.00,6475.00,7492.00,2990.00
DEC,103673.00,3795.00,26283.00,29940.00,15502.00,24128.00,4025.00,65816.00,3898.00,14445.00,30440.00,6481.00,7532.00,3020.00
1999,1024618.00,43602.00,221386.00,295717.00,178964.00,241905.00,43044.00,695797.00,45977.00,147524.00,310794.00,75256.00,80922.00,35324.00
JAN,77781.00,3556.00,15318.00,22963.00,13779.00,18839.00,3325.00,56272.00,3671.00,11355.00,25598.00,6131.00,6585.00,2931.00
FEB,79842.00,3563.00,15281.00,23590.00,14379.00,19711.00,3317.00,55522.00,3656.00,11356.00,24706.00,6185.00,6598.00,3021.00
MAR,79569.00,3460.00,15986.00,23184.00,14413.00,18947.00,3579.00,55749.00,3627.00,11497.00,25179.00,5996.00,6511.00,2940.00
APR,80801.00,3591.00,17010.00,23502.00,13811.00,19409.00,3480.00,56546.00,3766.00,11705.00,25236.00,6357.00,6715.00,2767.00
MAY,83200.00,3672.00,17931.00,24211.00,14681.00,19214.00,3492.00,56502.00,3778.00,11756.00,25176.00,6155.00,6536.00,3101.00
JUN,85868.00,3711.00,18124.00,25190.00,15298.00,19986.00,3560.00,56420.00,3915.00,11834.00,24839.00,6158.00,6606.00,3069.00
JUL,87186.00,3620.00,18698.00,25422.00,15337.00,20578.00,3530.00,57269.00,3878.00,11720.00,25689.00,6320.00,6736.00,2926.00
AUG,87837.00,3634.00,19968.00,24816.00,15140.00,20529.00,3749.00,58713.00,3974.00,12457.00,26603.00,6394.00,6552.00,2733.00
SEP,88512.00,3665.00,20300.00,24966.00,15401.00,20498.00,3683.00,60053.00,4123.00,13128.00,26518.00,6269.00,6972.00,3043.00
OCT,89923.00,3607.00,20590.00,25590.00,15108.00,21179.00,3849.00,60037.00,3965.00,13177.00,26814.00,6290.00,6888.00,2904.00
NOV,90984.00,3711.00,20871.00,25869.00,15413.00,21396.00,3724.00,60206.00,3791.00,13809.00,26488.00,6354.00,6952.00,2811.00
DEC,93115.00,3814.00,21308.00,26414.00,16204.00,21620.00,3755.00,62509.00,3833.00,13730.00,27948.00,6648.00,7273.00,3078.00
1998,911896.00,41243.00,200140.00,269451.00,148680.00,216996.00,35387.00,682138.00,46397.00,148266.00,299350.00,72387.00,80294.00,35444.00
JAN,74523.00,3325.00,17282.00,21921.00,11780.00,17508.00,2707.00,58296.00,4155.00,13319.00,25179.00,6409.00,6677.00,2557.00
FEB,74184.00,3526.00,16861.00,22227.00,11903.00,17043.00,2625.00,57456.00,4306.00,12687.00,24933.00,6300.00,6469.00,2701.00
MAR,76369.00,3455.00,16754.00,22939.00,12417.00,18151.00,2654.00,57814.00,4002.00,12709.00,25034.00,6453.00,6576.00,3040.00
APR,76350.00,3398.00,17316.00,22305.00,12291.00,18149.00,2891.00,56014.00,3815.00,12418.00,24076.00,6276.00,6664.00,2765.00
MAY,76492.00,3412.00,17223.00,22826.00,12395.00,18023.00,2612.00,55986.00,3817.00,12430.00,24288.00,5914.00,6684.00,2853.00
JUN,74911.00,3523.00,16797.00,22122.00,11727.00,18113.00,2629.00,56145.00,3887.00,12153.00,24728.00,5703.00,6831.00,2843.00
JUL,74594.00,3448.00,16548.00,22257.00,10837.00,18364.00,3140.00,55477.00,3765.00,11959.00,25029.00,5072.00,6822.00,2831.00
AUG,75707.00,3396.00,16654.00,22123.00,12140.00,18251.00,3143.00,55081.00,3632.00,12059.00,23750.00,5624.00,6753.00,3262.00
SEP,76107.00,3405.00,16295.00,22360.00,12712.00,18200.00,3136.00,56324.00,3326.00,12041.00,25384.00,6064.00,6718.00,2791.00
OCT,77880.00,3439.00,16602.00,22865.00,13221.00,18536.00,3218.00,58131.00,3939.00,12354.00,25968.00,6067.00,6675.00,3128.00
NOV,77912.00,3430.00,16327.00,22961.00,13440.00,18468.00,3286.00,58424.00,3810.00,12292.00,25686.00,6358.00,6765.00,3513.00
DEC,76867.00,3488.00,15483.00,22544.00,13815.00,18191.00,3346.00,56989.00,3944.00,11844.00,25233.00,6147.00,6661.00,3161.00
1997,869704.00,39694.00,213767.00,253282.00,139812.00,193811.00,29338.00,689182.00,51507.00,158226.00,294549.00,74029.00,77366.00,33505.00
JAN,69846.00,3063.00,18334.00,19489.00,11665.00,15166.00,2129.00,52904.00,4310.00,12156.00,21973.00,5867.00,6134.00,2463.00
FEB,70131.00,3140.00,17849.00,19657.00,11763.00,15262.00,2461.00,55077.00,4383.00,12802.00,23186.00,5872.00,6325.00,2509.00
MAR,70023.00,3206.00,17800.00,20151.00,11329.00,15297.00,2241.00,56931.00,4190.00,13486.00,24165.00,5855.00,6382.00,2852.00
APR,71262.00,3280.00,17464.00,20775.00,11339.00,15942.00,2462.00,57365.00,4361.00,13511.00,24547.00,6013.00,6371.00,2563.00
MAY,72137.00,3361.00,17920.00,20905.00,11582.00,16004.00,2364.00,57500.00,4231.00,13337.00,24658.00,5932.00,6496.00,2846.00
JUN,71658.00,3240.00,17393.00,20941.00,11724.00,15929.00,2431.00,58289.00,4196.00,13786.00,24586.00,6369.00,6610.00,2742.00
JUL,73330.00,3429.00,17368.00,21760.00,12080.00,16212.00,2482.00,59590.00,3977.00,13263.00,26092.00,6662.00,6538.00,3058.00
AUG,73623.00,3394.00,17901.00,21728.00,11735.00,16360.00,2506.00,58251.00,4260.00,13370.00,24859.00,6258.00,6525.00,2980.00
SEP,74408.00,3469.00,18256.00,21945.00,11582.00,16672.00,2484.00,58605.00,4447.00,13268.00,25179.00,6235.00,6426.00,3051.00
OCT,74641.00,3383.00,18198.00,22112.00,11598.00,16650.00,2701.00,58765.00,4458.00,13151.00,25209.00,6435.00,6609.00,2902.00
NOV,73588.00,3316.00,17796.00,21350.00,11518.00,17061.00,2547.00,57657.00,4406.00,12933.00,24720.00,6514.00,6499.00,2585.00
DEC,75056.00,3414.00,17488.00,22469.00,11898.00,17257.00,2530.00,58247.00,4287.00,13164.00,25375.00,6016.00,6451.00,2954.00
1996,795289.00,35710.00,204482.00,228074.00,128938.00,171983.00,26102.00,625075.00,55534.00,147652.00,252977.00,65021.00,70056.00,33836.00
JAN,63825.00,2723.00,15735.00,19273.00,10462.00,13586.00,2047.00,50275.00,4646.00,11999.00,20455.00,5425.00,5592.00,2158.00
FEB,63519.00,2857.00,15100.00,19209.00,10421.00,13806.00,2128.00,51625.00,4521.00,12192.00,21277.00,5375.00,5794.00,2465.00
MAR,63806.00,2883.00,15707.00,19165.00,10070.00,13834.00,2146.00,50901.00,4804.00,12474.00,20579.00,4787.00,5683.00,2573.00
APR,64459.00,2960.00,16664.00,18666.00,10377.00,13578.00,2214.00,51351.00,4712.00,12676.00,20782.00,5027.00,5717.00,2437.00
MAY,66464.00,3011.00,17142.00,18874.00,11158.00,14099.00,2180.00,52012.00,4816.00,12347.00,20776.00,5401.00,5722.00,2950.00
JUN,66087.00,2950.00,17071.00,18779.00,10906.00,14177.00,2205.00,52114.00,4809.00,12234.00,20714.00,5461.00,5819.00,3078.00
JUL,66253.00,2938.00,17136.00,18684.00,11125.00,14169.00,2202.00,51330.00,4741.00,11654.00,20763.00,5552.00,5680.00,3172.00
AUG,67329.00,3067.00,17318.00,18916.00,11289.00,14621.00,2118.00,52521.00,4562.00,12310.00,20763.00,5597.00,5864.00,3079.00
SEP,68080.00,3079.00,17873.00,18940.00,11035.00,14922.00,2231.00,52264.00,4393.00,12296.00,20763.00,5903.00,5965.00,3080.00
OCT,67423.00,3050.00,18181.00,18804.00,10234.00,14980.00,2174.00,53474.00,4482.00,12625.00,20763.00,5372.00,6052.00,2747.00
NOV,68364.00,3031.00,17661.00,19267.00,11233.00,14895.00,2276.00,54123.00,4664.00,12301.00,20763.00,5671.00,6056.00,3041.00
DEC,69681.00,3163.00,18895.00,19498.00,10630.00,15316.00,2180.00,53087.00,4384.00,12543.00,20763.00,5450.00,6113.00,3056.00
1995,743543.00,33176.00,181849.00,221431.00,123795.00,159905.00,23387.00,584742.00,50473.00,146247.00,233046.00,61828.00,64425.00,28723.00
JAN,60492.00,2850.00,14443.00,17071.00,10927.00,13281.00,1920.00,46256.00,3869.00,11540.00,17716.00,5523.00,5150.00,2458.00
FEB,59836.00,2847.00,14482.00,17007.00,10652.00,13035.00,1814.00,46597.00,4003.00,11714.00,18310.00,5216.00,5237.00,2118.00
MAR,61390.00,2863.00,15124.00,17533.00,10706.00,13380.00,1784.00,48259.00,4097.00,12497.00,18608.00,5251.00,5339.00,2468.00
APR,62557.00,2719.00,15605.00,18059.00,10993.00,13451.00,1730.00,47684.00,4165.00,12379.00,18657.00,4976.00,5297.00,2209.00
MAY,62311.00,2656.00,15628.00,18176.00,10399.00,13487.00,1966.00,48405.00,4042.00,12372.00,19013.00,5175.00,5362.00,2441.00
JUN,62698.00,2773.00,15626.00,18615.00,10252.00,13474.00,1957.00,48271.00,3949.00,12569.00,19206.00,4835.00,5386.00,2325.00
JUL,62479.00,2734.00,15401.00,18793.00,9941.00,13612.00,1997.00,48097.00,4142.00,12023.00,19663.00,4813.00,5257.00,2198.00
AUG,62042.00,2712.00,15050.00,18794.00,9966.00,13484.00,2035.00,49309.00,4368.00,12113.00,19904.00,5114.00,5528.00,2283.00
SEP,62845.00,2794.00,15388.00,19101.00,10214.00,13361.00,1987.00,50640.00,4679.00,12603.00,20126.00,5409.00,5478.00,2345.00
OCT,62028.00,2747.00,14766.00,19516.00,9666.00,13227.00,2107.00,50133.00,4300.00,12471.00,20234.00,5189.00,5449.00,2491.00
NOV,62138.00,2738.00,15110.00,19461.00,9797.00,13030.00,2002.00,50259.00,4371.00,11825.00,20729.00,5007.00,5416.00,2911.00
DEC,62727.00,2742.00,15229.00,19302.00,10283.00,13084.00,2087.00,50832.00,4488.00,12140.00,20880.00,5321.00,5527.00,2476.00
1994,663256.00,30958.00,162114.00,184368.00,118271.00,146274.00,21272.00,512626.00,41956.00,121396.00,205022.00,57775.00,59981.00,26495.00
JAN,50027.00,2443.00,11683.00,14027.00,8670.00,11520.00,1685.00,39843.00,3356.00,9039.00,16318.00,4409.00,4690.00,2032.00
FEB,50399.00,2363.00,11920.00,14004.00,8904.00,11515.00,1693.00,38293.00,3224.00,8673.00,15579.00,4342.00,4503.00,1971.00
MAR,52267.00,2558.00,12622.00,14472.00,9395.00,11444.00,1777.00,42487.00,3437.00,10492.00,16937.00,4791.00,4866.00,1964.00
APR,52936.00,2519.00,12633.00,14757.00,9324.00,11913.00,1791.00,41251.00,3138.00,9619.00,16924.00,4725.00,4780.00,2065.00
MAY,53830.00,2543.00,13100.00,14900.00,9531.00,12000.00,1756.00,41379.00,3248.00,9925.00,16542.00,4688.00,4906.00,2070.00
JUN,55731.00,2590.00,13999.00,15204.00,9979.00,12173.00,1787.00,42850.00,3126.00,9813.00,17615.00,4830.00,5185.00,2281.00
JUL,56096.00,2593.00,14359.00,15314.00,9962.00,12144.00,1724.00,41955.00,3102.00,10352.00,16481.00,4687.00,4960.00,2373.00
AUG,57396.00,2690.00,14740.00,15406.00,10411.00,12414.00,1734.00,44377.00,3576.00,10638.00,17615.00,4893.00,5166.00,2489.00
SEP,57640.00,2695.00,14292.00,16318.00,9958.00,12534.00,1844.00,44002.00,3641.00,10288.00,17826.00,4918.00,5112.00,2217.00
OCT,57950.00,2654.00,13923.00,16317.00,10507.00,12731.00,1819.00,44203.00,3843.00,10610.00,16878.00,5009.00,5259.00,2604.00
NOV,59778.00,2649.00,14563.00,16939.00,10810.00,13011.00,1807.00,45042.00,4065.00,10642.00,17805.00,5096.00,5283.00,2151.00
DEC,59204.00,2663.00,14279.00,16711.00,10820.00,12874.00,1856.00,46945.00,4201.00,11305.00,18501.00,5388.00,5271.00,2278.00
1993,580659.00,27867.00,145606.00,152365.00,102420.00,134015.00,18386.00,465091.00,40628.00,111814.00,181696.00,52404.00,54656.00,23893.00
JAN,45495.00,2262.00,11644.00,11678.00,8042.00,10467.00,1403.00,37616.00,3305.00,9436.00,14380.00,4089.00,4448.00,1958.00
FEB,45102.00,2174.00,11058.00,11857.00,8373.00,10336.00,1305.00,37064.00,3464.00,8683.00,14288.00,4319.00,4377.00,1932.00
MAR,48969.00,2382.00,12498.00,12382.00,8605.00,11475.00,1626.00,39027.00,3496.00,9235.00,15519.00,4335.00,4519.00,1923.00
APR,48573.00,2263.00,12634.00,12481.00,8647.00,11099.00,1449.00,38717.00,3520.00,9162.00,15196.00,4435.00,4429.00,1975.00
MAY,47942.00,2298.00,12417.00,12357.00,8364.00,10850.00,1657.00,39592.00,3385.00,9718.00,15362.00,4517.00,4708.00,1903.00
JUN,49189.00,2332.00,12766.00,12964.00,8410.00,11151.00,1567.00,37932.00,3253.00,8810.00,15255.00,4183.00,4512.00,1920.00
JUL,48112.00,2254.00,12234.00,12862.00,8056.00,11198.00,1508.00,37422.00,3245.00,9175.00,14272.00,4221.00,4565.00,1944.00
AUG,47901.00,2299.00,11812.00,12551.00,8381.00,11441.00,1417.00,37833.00,3069.00,8917.00,15078.00,4108.00,4515.00,2146.00
SEP,49083.00,2410.00,12175.00,12759.00,8771.00,11461.00,1507.00,38413.00,3351.00,9498.00,14683.00,4299.00,4596.00,1986.00
OCT,50820.00,2525.00,12551.00,13454.00,9048.00,11654.00,1588.00,40006.00,3408.00,9887.00,15504.00,4615.00,4564.00,2029.00
NOV,49939.00,2334.00,12313.00,13138.00,8932.00,11560.00,1660.00,40049.00,3477.00,9603.00,15421.00,4833.00,4758.00,1956.00
DEC,49534.00,2334.00,11503.00,13881.00,8792.00,11324.00,1700.00,41420.00,3655.00,9690.00,16740.00,4450.00,4665.00,2220.00
1992,532665.00,27610.00,138644.00,134253.00,91788.00,122657.00,17713.00,448164.00,40270.00,109140.00,175915.00,47028.00,51425.00,24385.00
JAN,41810.00,2252.00,10651.00,10281.00,7684.00,9642.00,1300.00,35404.00,3144.00,9160.00,13830.00,3306.00,3999.00,1964.00
FEB,41371.00,2177.00,10368.00,10439.00,7140.00,9772.00,1476.00,37702.00,3527.00,8866.00,15258.00,3800.00,4155.00,2097.00
MAR,42681.00,2255.00,10646.00,10734.00,7542.00,9911.00,1593.00,37208.00,3259.00,8929.00,15001.00,3634.00,4238.00,2147.00
APR,43399.00,2396.00,11259.00,10863.00,7511.00,9941.00,1429.00,36558.00,3505.00,8854.00,14327.00,3881.00,4025.00,1967.00
MAY,43954.00,2278.00,11614.00,10930.00,7562.00,10171.00,1400.00,36012.00,3004.00,9050.00,13881.00,3861.00,4182.00,2034.00
JUN,44955.00,2475.00,12038.00,11106.00,7629.00,10160.00,1546.00,38356.00,3126.00,9373.00,15442.00,3897.00,4348.00,2171.00
JUL,44989.00,2420.00,12042.00,11265.00,7550.00,10267.00,1446.00,37502.00,3397.00,9505.00,14368.00,3960.00,4250.00,2022.00
AUG,45467.00,2295.00,12061.00,11588.00,7765.00,10386.00,1372.00,36445.00,3358.00,8828.00,13987.00,4117.00,4199.00,1956.00
SEP,45671.00,2218.00,12041.00,11583.00,7759.00,10667.00,1403.00,37470.00,3462.00,8941.00,14604.00,4005.00,4506.00,1952.00
OCT,46160.00,2294.00,12537.00,11767.00,7455.00,10581.00,1525.00,38932.00,3624.00,9544.00,15250.00,3828.00,4574.00,2111.00
NOV,45971.00,2238.00,11916.00,11710.00,7988.00,10391.00,1728.00,37744.00,3445.00,9006.00,14403.00,4250.00,4606.00,2036.00
DEC,46239.00,2312.00,11472.00,11987.00,8204.00,10768.00,1496.00,38831.00,3419.00,9087.00,15565.00,4490.00,4342.00,1929.00
